Bowl,Date,Team,Money Line,Adjusted Probability,Multiplier,Bettor,Points Wagered,Potential Points,Expected Points,Actual Points,Played,Playoff,Natty,Winner,Correct Pick
Alamo,12/29/22,Washington,200,0.33,3,Bugs Bunny,0,0,0,0,TRUE,FALSE,FALSE,Washington,0
Alamo,12/29/22,Texas,-200,0.67,1.5,Bugs Bunny,6,9,6,0,TRUE,FALSE,FALSE,Washington,0
Citrus,1/2/23,Purdue,260,0.27,3.73,Bugs Bunny,0,0,0,0,TRUE,FALSE,FALSE,LSU,0
Citrus,1/2/23,LSU,-312,0.73,1.37,Bugs Bunny,2,2.73,2,2.73,TRUE,FALSE,FALSE,LSU,1
Cotton,1/2/23,Tulane,114,0.45,2.21,Bugs Bunny,0,0,0,0,TRUE,FALSE,FALSE,Tulane,0
Cotton,1/2/23,USC,-130,0.55,1.83,Bugs Bunny,9,16.44,9,0,TRUE,FALSE,FALSE,Tulane,0
Fiesta,12/31/22,TCU,275,0.26,3.8,Bugs Bunny,10,38.01,10,38.01,TRUE,TRUE,FALSE,TCU,1
Fiesta,12/31/22,Michigan,-295,0.74,1.36,Bugs Bunny,0,0,0,0,TRUE,TRUE,FALSE,TCU,0
Gator,12/30/22,South Carolina,165,0.38,2.65,Bugs Bunny,1,2.65,1,0,TRUE,FALSE,FALSE,Notre Dame,0
Gator,12/30/22,Notre Dame,-166,0.62,1.6,Bugs Bunny,0,0,0,0,TRUE,FALSE,FALSE,Notre Dame,0
Orange,12/30/22,Tennessee,215,0.31,3.18,Bugs Bunny,0,0,0,0,TRUE,FALSE,FALSE,Tennessee,0
Orange,12/30/22,Clemson,-225,0.69,1.46,Bugs Bunny,5,7.29,5,0,TRUE,FALSE,FALSE,Tennessee,0
Peach,12/31/22,Ohio State,215,0.31,3.24,Bugs Bunny,0,0,0,0,TRUE,TRUE,FALSE,Georgia,0
Peach,12/31/22,Georgia,-245,0.69,1.45,Bugs Bunny,3,4.34,3,4.34,TRUE,TRUE,FALSE,Georgia,1
